block_fips,nbrhood_id,nbrhood_name
60750213002002,51,Mount Davidson Manor
60750213002000,51,Mount Davidson Manor
60750205003004,15,Eureka Valley / Dolores Heights
60750212001003,51,Mount Davidson Manor
60750211004001,15,Eureka Valley / Dolores Heights
60750211004002,15,Eureka Valley / Dolores Heights
60750216001005,51,Mount Davidson Manor
60750217002017,22,Glen Park
60750216001012,51,Mount Davidson Manor
60750217003010,22,Glen Park
60750217002001,22,Glen Park
60750217003009,22,Glen Park
60750218004008,22,Glen Park
60750218004014,22,Glen Park
60750206002001,15,Eureka Valley / Dolores Heights
60750226001019,87,Central Waterfront/Dogpatch
60759809001016,65,Portola
60750614002015,65,Portola
60759809001036,27,Hunters Point
60759809001115,3,Bayview
60759809001128,3,Bayview
60750232003002,3,Bayview
60750251002012,4,Bernal Heights
60750231022006,3,Bayview
60750231021012,3,Bayview
60750215001009,51,Mount Davidson Manor
60750215003001,51,Mount Davidson Manor
60750215002002,51,Mount Davidson Manor
60750215001007,51,Mount Davidson Manor
60750451001000,33,Inner Richmond
60750157001000,1,Anza Vista
60750155002005,40,Lone Mountain
60750159002004,81,Western Addition
60750159002001,81,Western Addition
60750158011000,81,Western Addition
60750159001006,81,Western Addition
60750226001030,87,Central Waterfront/Dogpatch
60750125012003,86,Tenderloin
60750264042000,79,Visitacion Valley
60750119022000,13,Downtown
60759809001079,,
60750312011000,4,Bernal Heights
60750612002007,66,Potrero Hill
60750612002004,29,Ingleside Heights
60750354001008,29,Ingleside Heights
60750254032013,29,Ingleside Heights
60750601001086,48,Mission Bay
60750313023004,56,Oceanview
60750313023003,71,Sea Cliff
60750313023030,3,Bayview
60750261001004,3,Bayview
60750261002007,28,Ingleside
60750230012005,71,Sea Cliff
60759809001077,3,Bayview
60750615005010,72,Silver Terrace
60750607001024,46,South Beach
60750607003003,72,Silver Terrace
60750226001005,46,South Beach
60750226001006,46,South Beach
60750226001014,87,Central Waterfront/Dogpatch
60750232001007,3,Bayview
60750232001012,3,Bayview
60750258002000,89,Bayview Heights
60750610001015,88,Candlestick Point
60750610001013,89,Bayview Heights
60750233001019,89,Bayview Heights
60750234002016,3,Bayview
60750330006009,57,Outer Mission
60750353004000,57,Outer Mission
60750331003008,37,Monterey Heights
60750132003018,60,Outer Sunset
60750132003000,60,Outer Sunset
60750134003005,60,Outer Sunset
60750153002006,40,Lone Mountain
60750153002004,40,Lone Mountain
60750153002001,40,Lone Mountain
60750130003005,60,Outer Sunset
60750155003007,40,Lone Mountain
60750112001001,91,Nob Hill
60750109003002,10,Cow Hollow
60750102003010,41,Lower Pacific Heights
60750102002006,41,Lower Pacific Heights
60750102002008,10,Cow Hollow
60750126022003,41,Lower Pacific Heights
60750101001002,54,North Panhandle
60750117002001,17,Financial District/Barbary Coast
60750105002013,17,Financial District/Barbary Coast
60750177001015,31,Inner Mission
60750255002008,4,Bernal Heights
60750601001146,66,Potrero Hill
60750601001093,66,Potrero Hill
60750601001157,66,Potrero Hill
60750610002026,79,Visitacion Valley
60750204011005,15,Eureka Valley / Dolores Heights
60759804011002,,
60750428002000,,
60759901000001,,
60750326012000,7,Central Sunset
60750326011010,7,Central Sunset
60750303023000,23,Golden Gate Heights
60750303023008,32,Inner Parkside
60750326013000,7,Central Sunset
60750304001006,19,Forest Hill
60750203002003,15,Eureka Valley / Dolores Heights
60750202003002,47,Miraloma Park
60750203002007,47,Miraloma Park
60750201002002,31,Inner Mission
60750201004006,31,Inner Mission
60750202003008,47,Miraloma Park
60750208001003,31,Inner Mission
60750208002003,31,Inner Mission
60750208004006,31,Inner Mission
60750204011011,15,Eureka Valley / Dolores Heights
60750212003001,15,Eureka Valley / Dolores Heights
60750204022017,77,Twin Peaks
60750212003006,51,Mount Davidson Manor
60750332043001,74,Stonestown
60759809001126,3,Bayview
60750312012004,28,Ingleside
60750257022007,71,Sea Cliff
60750257012036,64,Pine Lake Park
60750230013000,71,Sea Cliff
60759809001099,3,Bayview
60750230011004,71,Sea Cliff
60750230011024,71,Sea Cliff
60750230012002,71,Sea Cliff
60750615004008,72,Silver Terrace
60750615006006,72,Silver Terrace
60750262003003,56,Oceanview
60750258002020,79,Visitacion Valley
60750258002001,64,Pine Lake Park
60750264022027,89,Bayview Heights
60750327006000,7,Central Sunset
60750120002004,78,Van Ness/Civic Center
60750111002006,78,Van Ness/Civic Center
60750168021008,78,Van Ness/Civic Center
60750124023002,78,Van Ness/Civic Center
60750176013009,73,South of Market
60750122021006,78,Van Ness/Civic Center
60750202001006,47,Miraloma Park
60750164001008,0,Alamo Square
60750164001002,0,Alamo Square
60750158021006,0,Alamo Square
60750176011002,18,Yerba Buena
60750615004000,72,Silver Terrace
